codigo_renacyt,Investigador,Genero,URL CTI Vitae,grupo,nivel,fecha_de_inicio_de_vigencia,fecha_fin_de_vigencia,Rango de Edad,reglamento
P0247447,"CASTILLO ALVAREZ, YOISDEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=247447,,VII,2022-08-01,,Entre 30 a 39 años,Reglamento 2021
P0246442,"ARIAS LOAYZA, JUSTO SANDRO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=246442,,VII,2022-10-27,,Entre 40 a 49 años,Reglamento 2021
P0244932,"RUIZ DIAZ, GONZALO MARTIN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=244932,,IV,2022-10-13,,Entre 50 a 59 años,Reglamento 2021
P0244721,"MONJE LOPEZ, IVONNE E.",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=244721,,IV,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0244515,"GUZMAN VILCA, WILMER CRISTOBAL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=244515,,VII,2022-06-17,,Entre 20 a 29 años,Reglamento 2021
P0244385,"CRUZ ACEVEDO, EDGAR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=244385,,IV,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0243933,"FELIPPE MORI, MARCO ANTONIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=243933,,VII,2022-08-17,,Entre 60 a 69 años,Reglamento 2021
P0241869,"OLAECHEA TORRES, ALLINSON",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=241869,,VII,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0241787,"RODRIGUEZ RAMIREZ, ERNESTO CHANES",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=241787,,IV,2022-02-10,,Entre 40 a 49 años,Reglamento 2021
P0241672,"MENDOZA CHOK, JORCH",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=241672,,VII,2022-12-29,,Entre 20 a 29 años,Reglamento 2021
P0239809,"ZAVALA DE PAWLIKOWSKI, ABRAHAM",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=239809,,VI,2022-09-13,,Entre 30 a 39 años,Reglamento 2021
P0239554,"CUELLAR MARTINEZ, TOMASA DEL CARMEN",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=239554,,III,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0239300,"SURICHAQUI TIZA, BEATRIZ SILVIA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=239300,,VII,2022-11-10,,Entre 30 a 39 años,Reglamento 2021
P0238892,"GRADOS ESPINOZA, HERBERT JUNIOR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=238892,,VII,2022-11-25,,Entre 30 a 39 años,Reglamento 2021
P0238657,"FERNANDEZ NAVARRO, MANUEL GUILLERMO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=238657,,VII,2022-09-13,,Entre 20 a 29 años,Reglamento 2021
P0238424,"ZIEGLER RODRIGUEZ, GONZALO JAVIER",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=238424,,VII,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0237124,"FERNANDEZ RIOS, NATALY ROSARIO",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=237124,,VII,2022-12-22,,Entre 30 a 39 años,Reglamento 2021
P0236471,"HUERTO CAQUI, EDUARDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=236471,,VII,2022-09-06,,Entre 40 a 49 años,Reglamento 2021
P0236221,"TELLO PEZO, MARIELA VIOLETA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=236221,,VII,2022-05-17,,Entre 40 a 49 años,Reglamento 2021
P0236028,"PAZ ROJAS, JOSE LUIS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=236028,,Investigador Distinguido,2022-07-22,,Entre 60 a 69 años,Reglamento 2021
P0235860,"ARBAYZA AVALOS, YESSENIA KATHERIN",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=235860,,VII,2022-10-18,,Entre 40 a 49 años,Reglamento 2021
P0235797,"MEJIA PARRA, JORGE LUIS JHOAO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=235797,,VII,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0235735,"PANDURO RAMIREZ, JEIDY GISELL",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=235735,,VI,2022-09-14,,Entre 40 a 49 años,Reglamento 2021
P0234940,"ARTIGAS MORALES, WILEIDYS",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=234940,,V,2022-06-08,,Entre 40 a 49 años,Reglamento 2021
P0234874,"RINCON RUIZ, CARLOS GIANPAUL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=234874,,VII,2022-05-24,,Entre 20 a 29 años,Reglamento 2021
P0234645,"ALVINO GRANADOS, ALEX EDUARDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=234645,,V,2022-06-21,,Entre 30 a 39 años,Reglamento 2021
